PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
62047, , 10.802189, 0.476946, 0.709246, -0.321113, 3.961293, 0.267851, 2.241758, -1.980701, -1.042304, -0.806152, -0.500488, -0.273682, 0.107967, 0.004119, 0.008211, 0.999875, 0.011208, -0.009903, -0.005211, 8.614535, -65.057008, 88.212883, , , 0.000000, , , 
62048, , 14.793973, 5.208891, -3.033295, -5.273510, 8.231988, 2.820614, 0.804202, -2.816645, -0.686442, -0.812744, -0.511475, -0.247070, 0.148523, 0.051696, -0.028036, 0.999887, 0.004021, -0.014083, -0.003432, 10.611002, -66.625130, 86.564455, , , 0.000000, , , 
62049, , 15.290042, 6.686325, -5.310890, -6.873977, 9.984298, 2.825979, 0.539285, -2.963102, -0.774191, -0.812500, -0.524658, -0.222656, 0.153921, 0.066408, -0.050654, 0.999879, 0.002696, -0.014815, -0.003871, 12.783231, -68.200792, 84.542142, , , 0.000000, , , 
62050, , 18.223740, 5.286641, -2.818308, -4.816428, 8.494930, 6.697852, -0.744056, -3.545645, -1.044885, -0.821777, -0.527100, -0.196533, 0.182974, 0.051814, -0.025138, 0.999822, -0.003720, -0.017727, -0.005224, 15.246082, -70.053745, 81.470069, , , 0.000000, , , 
62051, , 15.861448, 4.792086, -4.395043, -4.350084, 8.802496, 4.238398, -0.809105, -3.195062, -1.212286, -0.819092, -0.538086, -0.172119, 0.159577, 0.046784, -0.041597, 0.999846, -0.004045, -0.015974, -0.006061, 18.203892, -71.610844, 77.843865, , , 0.000000, , , 
62052, , 11.082545, 5.140749, -4.710913, -4.770808, 7.325207, -0.065398, -1.455638, -3.117751, -1.334432, -0.816650, -0.549072, -0.156494, 0.111884, 0.050327, -0.045739, 0.999830, -0.007278, -0.015588, -0.006672, 21.610482, -73.055634, 73.403502, , , 0.000000, , , 
62053, , 10.062553, 0.856042, -5.081644, -0.374566, 7.512581, -1.373579, -1.974362, -2.879672, -1.404217, -0.814209, -0.555420, -0.143066, 0.101398, 0.007358, -0.049437, 0.999823, -0.009871, -0.014398, -0.007021, 25.226008, -74.254180, 68.452896, , , 0.000000, , , 
62054, , 9.623096, 0.322971, -5.030815, 0.352691, 7.174474, -1.663369, -0.931488, -2.539544, -1.219165, -0.811768, -0.564209, -0.129639, 0.096876, 0.002410, -0.049093, 0.999890, -0.004657, -0.012697, -0.006096, 29.514246, -75.241321, 63.460024, , , 0.000000, , , 
62055, , 10.845302, 2.289372, -4.165145, -1.223890, 6.342578, 0.110872, -0.575356, -2.227869, -1.024152, -0.811768, -0.566406, -0.114258, 0.109023, 0.022219, -0.040504, 0.999921, -0.002877, -0.011139, -0.005121, 33.743121, -76.024479, 58.750284, , , 0.000000, , , 
62056, , 11.009222, 2.005363, -2.103941, -0.650084, 4.179039, 0.758930, -0.909150, -1.961427, -0.999779, -0.806885, -0.575195, -0.109619, 0.110390, 0.019410, -0.020047, 0.999929, -0.004546, -0.009807, -0.004999, 37.911766, -76.615071, 53.919928, , , 0.000000, , , 
62057, , 11.273970, -0.814448, -1.508261, 2.336354, 3.514509, 0.780997, -0.709750, -1.637771, -0.899145, -0.806641, -0.583984, -0.092041, 0.112820, -0.008703, -0.014129, 0.999950, -0.003549, -0.008189, -0.004496, 41.754698, -77.009379, 49.551075, , , 0.000000, , , 
62058, , 10.888885, 0.132366, -0.436903, 1.480508, 2.219950, 0.753963, 0.285721, -1.287192, -0.640399, -0.802002, -0.590332, -0.085205, 0.108917, 0.000981, -0.003667, 0.999973, 0.001429, -0.006436, -0.003202, 45.394100, -77.301668, 45.978910, , , 0.000000, , , 
62059, , 11.068367, 1.384029, 0.485567, 0.371613, 1.189492, 1.282598, 0.776366, -1.096832, -0.472984, -0.794922, -0.596924, -0.069580, 0.110687, 0.013558, 0.005516, 0.999975, 0.003882, -0.005484, -0.002365, 48.724673, -77.534914, 43.017928, , , 0.000000, , , 
62060, , 11.651117, 2.284656, 1.161608, -0.333484, 0.453065, 2.103652, 1.067471, -0.988747, -0.377403, -0.799561, -0.596924, -0.058838, 0.116494, 0.022562, 0.012313, 0.999972, 0.005337, -0.004944, -0.001887, 52.049367, -77.734713, 40.234220, , , 0.000000, , , 
62061, , 10.938603, 3.319074, 1.005732, -1.417547, 0.348404, 1.569244, 0.942467, -0.897055, -0.372233, -0.797119, -0.596924, -0.050049, 0.109400, 0.032938, 0.010704, 0.999977, 0.004712, -0.004485, -0.001861, 55.087589, -77.871775, 37.674052, , , 0.000000, , , 
62062, , 10.013376, 3.227720, 0.595864, -1.450290, 0.523857, 0.611425, 0.602678, -0.835856, -0.408400, -0.801758, -0.601562, -0.034668, 0.100173, 0.032054, 0.006474, 0.999985, 0.003013, -0.004179, -0.002042, 57.973314, -77.946747, 35.064045, , , 0.000000, , , 
62063, , 9.597915, 2.697062, 0.670673, -0.945285, 0.331054, 0.129143, 0.383461, -0.784334, -0.419312, -0.794434, -0.610107, -0.031982, 0.096008, 0.026756, 0.007135, 0.999988, 0.001917, -0.003922, -0.002097, 60.580474, -77.973129, 32.618629, , , 0.000000, , , 
62064, , 9.593255, 2.236211, 0.642588, -0.446261, 0.298586, 0.044044, 0.238407, -0.745534, -0.426566, -0.789795, -0.614502, -0.020996, 0.095955, 0.022150, 0.006810, 0.999990, 0.001192, -0.003728, -0.002133, 63.104742, -77.963843, 30.165956, , , 0.000000, , , 
62065, , 9.825153, 1.570803, 0.672490, 0.297879, 0.254259, 0.152219, 0.059227, -0.692541, -0.442405, -0.789795, -0.610107, -0.016846, 0.098262, 0.015489, 0.007070, 0.999992, 0.000296, -0.003463, -0.002212, 65.328665, -77.911404, 27.922248, , , 0.000000, , , 
62066, , 10.063404, 0.892394, 1.252857, 1.094813, -0.334643, 0.302992, 0.141680, -0.631736, -0.453276, -0.787354, -0.616699, -0.010010, 0.100614, 0.008687, 0.012853, 0.999992, 0.000708, -0.003159, -0.002266, 67.515912, -77.819986, 25.757131, , , 0.000000, , , 
62067, , 10.388296, 0.731489, 1.854020, 1.405839, -0.953300, 0.627786, 0.435109, -0.503950, -0.452239, -0.780518, -0.618896, -0.003418, 0.103852, 0.007039, 0.018817, 0.999992, 0.002176, -0.002520, -0.002261, 69.443729, -77.687957, 24.035240, , , 0.000000, , , 
62068, , 9.982627, 1.081190, 1.114202, 0.991286, -0.322328, 0.236008, 0.684597, -0.401267, -0.462841, -0.780273, -0.623047, 0.005615, 0.099828, 0.010542, 0.011379, 0.999989, 0.003423, -0.002006, -0.002314, 71.302291, -77.516955, 22.522610, , , 0.000000, , , 
62069, , 9.927401, 0.742320, 1.565033, 1.402977, -0.797855, 0.134588, 1.022530, -0.356986, -0.444555, -0.780273, -0.627441, 0.014404, 0.099262, 0.007122, 0.015864, 0.999983, 0.005113, -0.001785, -0.002223, 73.114216, -77.339926, 21.262128, , , 0.000000, , , 
62070, , 9.639080, 1.915326, 2.048342, 0.307183, -1.431017, 0.118737, 1.528625, -0.321380, -0.381126, -0.775635, -0.627441, 0.027588, 0.096394, 0.018811, 0.020783, 0.999968, 0.007643, -0.001607, -0.001906, 75.114081, -77.181730, 20.099177, , , 0.000000, , , 
62071, , 9.415173, 3.988906, 1.560665, -1.735702, -1.205365, 0.312823, 1.565931, -0.317144, -0.352253, -0.775635, -0.629639, 0.034180, 0.094196, 0.039599, 0.016067, 0.999967, 0.007830, -0.001586, -0.001761, 76.998640, -77.032521, 19.081973, , , 0.000000, , , 
62072, , 9.252125, 3.970558, 1.131886, -1.739232, -0.874504, 0.130042, 1.113589, -0.439273, -0.333229, -0.775635, -0.632080, 0.051758, 0.092562, 0.039487, 0.011742, 0.999981, 0.005568, -0.002196, -0.001666, 78.939149, -76.899771, 17.732991, , , 0.000000, , , 
62073, , 9.689901, 3.739720, 0.765138, -1.415395, -0.536911, 0.491329, 1.000389, -0.527269, -0.290745, -0.768555, -0.638428, 0.062744, 0.096932, 0.037217, 0.008093, 0.999983, 0.005002, -0.002636, -0.001454, 80.914860, -76.791335, 16.288336, , , 0.000000, , , 
62074, , 9.639190, 3.267520, 0.504312, -0.957975, -0.307316, 0.327936, 0.696265, -0.583572, -0.289453, -0.773193, -0.634277, 0.064941, 0.096424, 0.032517, 0.005438, 0.999989, 0.003481, -0.002918, -0.001447, 82.893838, -76.673286, 14.657220, , , 0.000000, , , 
62075, , 9.700411, 2.206050, 0.601469, 0.134484, -0.342892, 0.146736, 0.647539, -0.683447, -0.269433, -0.763916, -0.629639, 0.071289, 0.097012, 0.021909, 0.006417, 0.999988, 0.003238, -0.003417, -0.001347, 84.976121, -76.563728, 12.893857, , , 0.000000, , , 
62076, , 9.615323, 2.123904, 1.058916, 0.300707, -0.869657, 0.048310, 0.793172, -0.711680, -0.272482, -0.768311, -0.642822, 0.089111, 0.096143, 0.021065, 0.011015, 0.999985, 0.003966, -0.003558, -0.001362, 87.225384, -76.437756, 11.033097, , , 0.000000, , , 
62077, , 9.392841, 1.751913, 1.415005, 0.703959, -1.261203, -0.262296, 0.792884, -0.774321, -0.260081, -0.766113, -0.640869, 0.097900, 0.093895, 0.017340, 0.014583, 0.999984, 0.003964, -0.003872, -0.001300, 89.532596, -76.303735, 9.122135, , , 0.000000, , , 
62078, , 8.798343, 1.942152, 1.862753, 0.497750, -1.842015, -0.812080, 1.047300, -0.872684, -0.224875, -0.761475, -0.636475, 0.104248, 0.087922, 0.019223, 0.019112, 0.999976, 0.005236, -0.004363, -0.001124, 92.228445, -76.164740, 6.954170, , , 0.000000, , , 
62079, , 8.539377, 3.497800, 2.022728, -0.975833, -2.356156, -0.716440, 1.187344, -1.023123, -0.211180, -0.754395, -0.640625, 0.126221, 0.085325, 0.034765, 0.020871, 0.999969, 0.005937, -0.005116, -0.001056, 95.245484, -76.007910, 4.542448, , , 0.000000, , , 
