PacketCounter, SampleTimeFine, Acc_X, Acc_Y, Acc_Z, FreeAcc_X, FreeAcc_Y, FreeAcc_Z, Gyr_X, Gyr_Y, Gyr_Z, Mag_X, Mag_Y, Mag_Z, VelInc_X, VelInc_Y, VelInc_Z, OriInc_q0, OriInc_q1, OriInc_q2, OriInc_q3, Roll, Pitch, Yaw, Latitude, Longitude, Altitude, Vel_X, Vel_Y, Vel_Z
64315, , -1.069013, 2.359238, -4.102986, 4.236010, -0.820512, -12.031525, -2.468802, -3.810082, 2.163087, -0.783936, 0.278076, -0.535645, -0.010153, 0.022970, -0.041513, 0.999684, -0.012343, -0.019048, 0.010814, 10.116510, -71.016952, -56.807244, , , 0.000000, , , 
64316, , 12.657126, -6.361566, 1.178879, -3.294603, -6.641374, 2.313992, -3.913056, -3.312261, 1.734989, -0.799316, 0.309082, -0.501953, 0.126883, -0.062242, 0.015115, 0.999634, -0.019563, -0.016559, 0.008674, 5.635652, -73.032550, -54.455267, , , 0.000000, , , 
64317, , 17.808804, -11.911122, -3.413611, -3.972747, -14.240663, 6.063906, -1.736920, -2.368892, 0.719070, -0.810059, 0.315430, -0.487061, 0.178895, -0.118747, -0.030988, 0.999886, -0.008684, -0.011844, 0.003595, 3.578792, -74.447845, -53.350821, , , 0.000000, , , 
64318, , 16.414955, -5.959348, -3.832227, 0.453046, -10.080318, 4.946288, 1.795242, -1.841776, 0.332764, -0.813721, 0.301025, -0.477051, 0.164595, -0.058982, -0.037339, 0.999916, 0.008976, -0.009209, 0.001664, 4.158429, -75.512748, -52.887031, , , 0.000000, , , 
64319, , 13.110252, 1.515551, -3.197480, 5.109911, -3.860892, 2.161377, 0.746395, -1.445440, -0.096640, -0.820068, 0.301025, -0.468506, 0.131336, 0.015209, -0.030969, 0.999967, 0.003732, -0.007227, -0.000483, 5.021332, -76.365732, -53.325073, , , 0.000000, , , 
64320, , 8.338740, 3.679833, 0.338775, 3.675825, 1.150374, -1.545006, -0.559529, -1.500372, 0.065251, -0.832764, 0.309326, -0.447510, 0.083347, 0.036836, 0.003910, 0.999968, -0.002798, -0.007502, 0.000326, 4.851206, -77.224688, -53.480662, , , 0.000000, , , 
64321, , 6.638635, 2.180060, 1.944331, 1.230169, 1.733192, -2.878265, -1.100275, -1.892611, 0.139574, -0.836914, 0.309326, -0.437256, 0.066184, 0.021956, 0.019950, 0.999940, -0.005501, -0.009463, 0.000698, 4.194741, -78.346368, -53.445905, , , 0.000000, , , 
64322, , 5.954359, 2.970501, 4.749892, -0.085602, 4.562734, -3.029531, -1.044031, -2.311458, 0.425765, -0.849854, 0.321533, -0.407715, 0.058927, 0.030081, 0.048026, 0.999917, -0.005220, -0.011557, 0.002129, 2.748232, -79.682426, -52.582857, , , 0.000000, , , 
64323, , 6.765571, 1.787302, 1.694991, 0.999919, 1.554182, -2.854078, -1.725999, -2.789156, 0.663532, -0.858398, 0.327881, -0.384766, 0.067352, 0.018248, 0.017734, 0.999860, -0.008630, -0.013945, 0.003318, -0.376866, -81.319878, -50.407823, , , 0.000000, , , 
64324, , 7.753537, -1.292088, -2.497577, 1.249086, -3.537205, -2.467785, -1.158749, -2.794105, 0.770354, -0.863037, 0.340088, -0.361572, 0.077923, -0.012761, -0.023815, 0.999878, -0.005794, -0.013970, 0.003852, -4.748707, -82.899537, -46.665888, , , 0.000000, , , 
64325, , 7.986379, -1.790385, -3.187678, 1.203409, -4.201593, -2.194175, -0.028189, -2.909676, 0.709885, -0.879883, 0.346436, -0.336426, 0.080379, -0.017624, -0.030707, 0.999888, -0.000141, -0.014548, 0.003549, -10.566964, -84.529396, -40.816022, , , 0.000000, , , 
64326, , 9.073044, 0.055361, -1.240075, 1.411179, -1.382656, -0.871086, -0.847727, -2.777532, 0.687792, -0.884277, 0.356689, -0.306885, 0.090889, 0.000817, -0.011142, 0.999889, -0.004238, -0.013887, 0.003439, -20.810076, -85.959252, -31.026857, , , 0.000000, , , 
64327, , 9.140236, -0.956357, -0.922751, 0.304105, -1.531094, -0.709520, -2.116714, -2.576303, 0.606093, -0.886963, 0.371094, -0.279541, 0.091539, -0.009375, -0.007949, 0.999856, -0.010583, -0.012881, 0.003030, -39.707546, -87.096868, -13.297749, , , 0.000000, , , 
64328, , 9.160785, -1.563270, -0.378915, -0.631462, -1.238626, -0.616552, -2.324247, -2.390729, 0.430295, -0.901855, 0.381592, -0.254395, 0.091676, -0.015470, -0.002513, 0.999859, -0.011621, -0.011953, 0.002151, -69.049911, -87.711295, 14.739135, , , 0.000000, , , 
64329, , 8.856200, -1.042939, -0.420340, -0.316602, -0.759448, -0.923615, -2.429610, -2.200686, 0.325913, -0.906250, 0.387695, -0.218750, 0.088617, -0.010327, -0.003103, 0.999864, -0.012148, -0.011003, 0.001629, -102.758386, -87.604370, 47.095844, , , 0.000000, , , 
